id,dollar
Scott Twp,2000
Lakeland,6650
Orefield,23200
Levittown,10400
Parker,25300
30511,5200
Laguna Beach,12200
95674,500
Mundelein,1000
Miami Lakes,11400
Celebration,4600
Santa Barbara,20200
Novi,17892
Burlington,3000
95358,1100
Phenix City,14400
95354,2000
Sewickley,6000
Pottstown,1000
Honolulu,289205
Ozawkie,800
Baltimore,26050
SC,1217685
Sunnyvale,7150
Marimar Beach,250
Winter Haven,750
MD,2650261
MA,31300
Friendswood,250
MO,4522945
MN,2126169
MI,2936423
MT,522237
94595,1500
MS,543602
High Point,5600
SD,764998
San Juan Capistran,5400
Fort Morgan,500
Los Altos Hills,25700
Haverford,5000
Lansing,6200
Centreville,1000
Northville,10100
Davidson,1000
Makawao,500
Sarasota,7120
93212,1000
93215,1000
Owasso,1600
Frostproof,500
Bettendorf,750
Kingwood,3500
Chester Springs,4400
Montreat,800
Bray,5500
Orlando,29900
Hayes,2000
Monterey Park,600
Pewaukee,20000
Mountain Brk,6450
Lebanon,9500
San Rafael,2500
Roseville,11400
93206,1500
Ft Mitchell,500
Saint Henry,800
Herndon,500
Media,9000
Wheaton,11500
Ragley,1000
Plainfield,3000
Encino,27920
St Louis,62450
Cocoa,3500
Lakin,250
Blythewood,3600
Youngsville,9100
Houma,45900
Carrollton,32800
Summerville,4500
Joliet,1200
Alpharetta,23000
Carmichael,7750
Sausalito,2000
Setauket,1000
Eagle,2600
Riverton,1000
Hamel,2000
Fort Ann,1000
Tubac,750
Old Hickory,7500
Little Neck,1000
Martin,4000
Homerville,250
Whiteville,500
West Miami,1000
Ceres,1000
Fredericktown,25000
Sherman Oaks,6000
Chagrin Falls,59850
Baden,9600
Winter Garden,1000
Accokeek,6000
Janesville,4400
Rancho Cucamonga,1800
Grain Valley,500
Carencro,1000
Winston Salem,3250
Covington,21600
Mission Hills,17800
Edmond,255840
49630,24000
Cypress,70200
Escanaba,400
North Oaks,2500
Defiance,750
Mount Jackson,500
Winterville,1000
Lenexa,6500
Jenkintown,36900
Purchase,2500
Norfolk,1000
Great Bend,500
Saint Clairsville,800
Beckley,28800
Faber,1000
Augusta,7150
Rome,2500
Webster,37300
Blackshear,5300
Wilkes Barre,19200
Shavano Park,15700
77002,19200
Argyle,1500
Glenview,39900
North Little Rock,2000
Bigfork,26900
Red Bluff,5000
Gilroy,29496
Manteno,800
Pearland,1000
Kalispell,500
San Marino,34700
Cookeville,5800
Petersburg,250
Rosemead,2500
Laredo,500
Glenmont,4500
Avon Park,500
Williamsport,1000
Bloomingdale,5200
Commerce,2000
Painesville,4000
Manakin Sabot,1000
Southlake,44850
Fenton,9600
Hinesville,1752
Westfield,200
Boulder City,74000
Kimberling City,1000
Wilmore,300
31763,1000
Lake Oswego,2000
Jerome,500
Fairlawn,1500
Huntington,9400
Erie,500
Hauppauge,2500
Sanford,6000
Ossining,2250
Royal,2000
Oak Park,7250
Hollywood,500
Vergreen,2000
San Carlos,250
Loudonville,5050
Burlingame,850
New England,1000
Palmer,600
Parkdale,500
Surfside Beach,25200
Nicholasville,2250
Shaker Heights,12500
Belvedere Tiburon,2000
Cortez,1750
Shoreview,1000
Wheat Ridge,950
Port Isabel,500
Hendersonville,500
Hurst,1000
Traverse City,2500
DE,242300
DC,3573097
Bainbridge Island,10200
Danville,20500
Fort Myers,7200
Naples,235900
Torrance,1500
Sandia Park,500
Gurnee,250
Mankato,1100
Fremont,7100
Merrick,2500
Cut Off,62900
Saint James,716
Elk Grove,9050
Vestal,1500
Boonville,500
Tuscola,500
Fernandina Beach,250
Minco,600
Pflugerville,1100
Elmira,250
Glenwood,500
Townville,500
WA,4949440
Moraga,4000
Silsbee,500
WI,2605789
WV,1473166
Ephrata,1000
WY,226900
St. Clairsville,1400
Laguna Niguel,25500
Sacramento,29384
Camp Douglas,1000
North Salem,2600
Cogan Station,4500
State College,2000
Lewistown,1500
Redlands,9900
Altamonte Springs,2000
Presto,1000
Lexington,33575
68128,500
Farmingdale,2750
Northfield,6000
Clemson,2000
Bentleyville,4350
Folsom,3750
Manchester,200
Delafield,6000
Allen,8300
Corrales,600
Dawsonville,1000
Santa Paula,500
Seminole,5900
Key West,2000
Country Club,36000
Iowa,46600
Hempstead,250
Lititz,3000
Imperial Beach,4000
Tomball,16600
Petoskey,1000
54520,2500
North Charleston,5000
Stone Mtn,500
Overton,4000
North Babylon,400
Sugar Land,90150
Spearfish,4000
Mosier,500
Newport News,1500
Mountain Top,2525
Orinda,1250
Mobridge,2000
Eden Prairie,3850
Cornelius,2750
Rayville,7700
Douglaston,7700
Ranson,1750
Lawtell,1300
Kaneohe,24700
Fairbanks,1800
Sherwood,800
Duanesburg,7200
Riverside,6600
De Pere,2600
Village Of Palmett,6000
95449,1000
Littleton,19400
Fort Wayne,20500
Thibodaux,13900
Millbrae,2000
Pensacola,11309
El Cajon,750
Saint Louis,258550
Portsmouth,250
Allison Park,500
Valley Stream,2750
Davenport,3110
Marshall,2000
Church Point,1000
Annandale,3500
Cockeysville,500
Saint Joseph,234600
Dripping Springs,500
Laurel,250
Bloomfield Hills,77950
Monona,2000
Venice,2500
Lutz,4000
Chappaqua,1000
Valencia,7190
South Pittsburg,1000
Chandler,7000
30606,2000
Center Valley,1500
Oak Hill,7200
Arden,16000
Amarillo,2000
Dobbs Ferry,1500
Muskegon,1000
Plano,2000
Beaverton,6000
Tonganoxie,500
Anchorage,111150
Kansas City,26900
Glen Arm,4000
IL,8658563
Mosinee,6500
IA,1157605
Helotes,4826
ID,395320
Pawhuska,4000
Nyssa,2000
Reno,24150
Amelia Island,1000
Lakewood,7200
Milwaukee,70600
East Dublin,500
Richland,10600
Dewitt,4000
Woodland,2000
Provo,1000
Santa Rosa,3600
Spartanburg,6800
Yardley,500
Sterling,3350
Marysville,1500
Calvert City,750
Canyon Country,2000
West Fargo,500
Woodbine,4000
Archdale,1601
Newalla,500
19063,3000
Ridgeland,21300
Bellingham,17000
Dubois,4000
Belmont,12500
Bloomfield,2500
Coopersburg,500
Long Beach,19800
Troy,39700
Granite Falls,36400
Lagrange,250
Santee,1750
Lincolnwood,500
Greensburg,7200
Monongahela,65100
Madera,500
Mars,500
Vienna,46600
Atherton,10200
Brentwood,33200
Yakima,6650
South Pasadena,1100
Cowiche,2000
Monroeville,1200
Great Neck,3500
Spokane,8180
Wichita,139650
San Jose,19900
Berkley,250
Seaford,1000
Gasport,2500
Windermere,5000
Cocoa Beach,500
Tuscaloosa,14750
South Barrington,1000
East Amherst,1000
Superior,1000
Middletown,1500
Lovington,1000
Ada,7950
Issaquah,3000
Waccabuc,500
Fort Lauderdale,18700
NJ,12400
NM,1259646
Aliso Viejo,5500
95668,500
20036,57566
Asheville,3500
NY,11418527
Fort Smith,45156
Olathe,27300
NV,1472967
Englewood,46550
78570,500
Little Rock,133450
Ortonville,2000
Chadds Ford,250
Greensboro,25040
Stockton,750
Berea,400
Cushing,500
Lancaster,89600
89052,2000
Idaho Falls,2250
Atlantic,750
Springfield,13400
Los Ranchos,7200
Saint Charles,6250
Woodbury,3250
Farmington Hills,1000
Pepper Pike,3500
B4000,500
Aiea,10950
Plymouth Meeting,2000
Prestonsburg,2000
Saint Paul,29900
Malvern,10050
Broussard,10400
Johnstown,8500
Highlands Ranch,20400
Robstown,1300
Omaha,52000
Nacogdoches,500
Juno Beach,1250
Cedar Bluff,14599
Plymouth,2000
Kinderhook,500
Fleetwood,500
Seven Valleys,12500
Easley,7200
95380,2000
Van,500
The Woodlands,19000
Wayne,20100
Minot,16400
Alameda,4000
Newtown,4000
Wading River,5600
93624,8000
Grove City,27200
93620,1000
Buford,10000
93622,3500
Riesel,5200
Batesville,1000
Kettering,3000
98363,9500
Toluca,1000
Richmondville,12000
Shiner,1000
Wellsburg,750
Virginia Beach,29100
 Nc,500
Beaumont,1700
 Ny,2600
Nottingham,500
Mc Farland,500
Kiln,4000
Broken Arrow,7700
Merced,10000
Santa Monica,32616
Pleasant Ridge,500
Denver,290386
Hilliard,500
Ormond Beach,2500
Dimondale,5500
Lake Placid,500
Jurupa Valley,500
Coral Gables,128850
93446,1000
Camarillo,3000
N Miami,500
Stillwater,1500
Overland Park,79600
Port Barre,500
Huntley,12000
Solana Beach,5500
75204,5000
Hinsdale,8500
Canandaigua,610
Medora,5000
Spencer,500
Bellport,250
Lihue,6000
Rancho Cordova,400
Saint Augustine,2000
Skokie,1000
Marquette,500
Metter,2000
Victor,1000
Wyncote,9600
Pendleton,1650
Cartersville,2400
Mount Pleasant,9000
Odenton,1600
Graysville,900
Canton,2250
Richmond,15900
Louisville,47900
Mirmar,2000
Ashburn,3750
Columbus,96200
Escalon,5000
Niles,400
Locust Valley,25300
Humble,4600
Loveland,500
20006,238
Sebring,500
20003,210000
20002,2500
Goose Creek,350
Oldsmar,38400
Batavia,250
Greenfield,26600
Pottsville,8000
Brainerd,500
Bowling Green,32700
Corona Dl Mar,2000
Raymore,2000
Oklahoma City,201449
Zebulon,800
Viera,500
West Bloomfield,11800
West Des Moines,2500
Denton,1250
Coolidge,1000
Peachtree City,6100
Bonita Springs,7000
Monroeton,1000
Wayzata,7000
28441,250
Castle Pines,1300
Hartland,1000
Hobbs,76850
Labelle,1500
Breckenridge Hills,14400
Tarrytown,2600
North Las Vegas,18800
Chattanooga,18200
Federal Way,2400
Compton,1000
Scandia,12000
Ottawa Hills,5000
92544,2000
Sevierville,1900
Lenoir City,2000
Orchard Park,4500
Aiken,7500
Belgrade,24800
Dillon,1500
Necedah,2500
Yorba Linda,2950
Silver Spring,9900
Chappell Hill,5200
Crownsville,4000
Fishers,5250
Chanhassen,3250
Newhall,1500
93704,11000
Geyserville,2000
Smithfield,2750
Wenatchee,29800
Monticello,2000
Sayville,9000
Marietta,8000
Apollo Beach,3500
Leesburg,1000
Stokes,750
95841,500
Mint Hill,2000
Harbor Springs,1500
Cavour,500
Ulysses,250
Mclean,23800
East Lansing,2000
Stateline,2500
Savannah,3500
Bingham Farms,750
Palos Hills,1000
Nashville,54600
Coalinga,2600
Towson,4414
Moro,2550
Granville,6000
Reading,500
Barnwell,9400
Ross,400
Good Hope,1000
Dubuque,6252
Carpinteria,2000
Kennesaw,500
Bolingbrook,1500
Highland Park,2500
Henrico,14900
98516,6700
Siloam Springs,500
Tucson,49950
Elmhurst,1000
Redwood City,600
La Canada Flintridge,1000
Evans,1500
Rose Hill,500
Kennewick,4850
Holliday,2000
Doral,24400
95469,2000
Alhambra,250
Homewood,1000
IN,2093720
Gilbert,7750
Blacklick,1000
Tahoe City,500
Rancho Palos Verdes,2000
Broadview Heights,1000
Selma,500
Chevy Chase,61600
Great Falls,13700
Escondido,25800
Highland Hts,9900
Greenbrae,1500
Ventura,6450
Prosser,500
Vero Beach,39800
Rocky Mount,21500
Mc Lean,39050
Collegeville,4350
Laguna Hills,1000
New Orleans,157052
Woodlands,1500
Schnecksville,1000
Douglas,1000
Fairchance,400
20011,4000
City Of Industry,500
Virginia Bch,4500
Rumsey,3000
Odessa,72350
Edgewood,250
Huber Heights,500
Lithia,5350
95606,14200
Conshohocken,9000
Sheboygan,1750
New Tripoli,500
Kenai,42600
Blue Bell,7000
Whitefish Bay,1000
Niwot,21800
Baldwin Place,2000
Lafayette,257100
Manassas,1000
87053,3000
University Place,2500
Silverton,1500
Bethel Park,500
Summit,9600
Wexford,12950
Guffey,250
Spring Church,1500
Hammond,5000
Burnsville,1000
Bixby,500
Clarksville,2800
Doylestown,3750
Palestine,500
Kirkland,7450
Henderson,8850
Terrytown,2000
Redmond,1920
Tulsa,290250
79339,250
Ann Arbor,10000
Granger,3000
Hanover Township,1000
Morgantown,15100
Broomfield,5500
F5100,250
Golden Valley,1250
Loganville,2500
Dublin,2200
Cedar Rapids,1000
Eaton,500
Olympia,1000
Ft Lauderdale,3100
Westlake,9500
Minneapolis,33858
Warrenton,10000
Marion,3100
Huron,500
White Plains,1000
Rochester,43200
Lakewood Ranch,250
Upper Arlington,2000
Arvada,2000
Rapid City,5000
Kutztown,1600
San Francisco,191600
Downers Grove,1000
Phoenixville,8000
Appleton,500
93609,10200
Wausau,6000
New York City,5500
93601,10400
Blair,2000
Marina Del Rey,4500
Stanwood,250
Rock Island,250
Northport,600
Southampton,800
Bridgeport,250
San Pedro,9500
Fulton,3750
Point Clear,2000
Battle Creek,400
Arpin,500
Park Forest,500
Schiller Park,6000
Lenoir,9500
Willis,6000
Bellaire,1000
Davidsville,6032
Lakeway,3000
Vicksburg,13200
Santa Ana,16750
Eagle River,2982
Kasson,500
Sutdio City,2000
Bethel,25600
Cary,1960
Saluda,2000
Weirton,3250
Lathrup Village,5200
Lubbock,8400
Champions Gate,4000
Princeton,4000
Amma,2600
Donna,5000
Fairfax,2500
Ellicott City,7000
North Miami Beach,1000
Grand Blanc,3000
Northbrook,13000
Salem,3500
60093,3000
Trabuco Canyon,2000
Walters,500
Bountiful,2000
Healdsburg,400
Bismarck,3700
Cheney,3500
Oakley,2000
Desoto,3500
49241,1000
Foley,500
Half Moon Bay,2000
Mill Valley,4400
Emmaus,250
Wynantskill,250
Le Grand,1000
Grosse Pointe Park,500
Hanford,200
Clive,8000
Raleigh,16300
Silver Springs,500
Glendale,7800
Reston,5950
Clarkston,600
Gig Harbor,1500
Woodbridge,2500
Roanoke,9600
Albany,207180
Pikesville,3000
Jacksonville Beach,8000
Bremen,1500
Tyler,10800
Sallisaw,500
Slaughter,1000
Whitsett,600
Eagan,900
Rocheport,900
Wilmette,3800
St. Paris,400
Stone Mountain,250
Fincastle,200
Champaign,250
North Pole,1000
Grand Rapids,7050
Berkeley,30750
83203,11800
Little River,1000
Palm Desert,2600
Alpha,500
Salt Lake Cty,4300
Alexandria,40373
OK,2097904
28027,6000
OH,5537185
Eleva,250
Coon Valley,450
Lowville,600
OR,1077354
Java,250
Rockaway Point,250
Longboat Key,500
Napa,5620
Beachwood,1000
Perrysburg,1000
Burke,600
Norristown,500
Sylvania,2000
Pittsburgh,126820
Glen Ellyn,10798
Albuquerque,101150
Sioux City,17900
Indianola,25300
Tuttle,7000
Winters,5500
Lynchburg,1250
Galliano,256300
Fruita,300
Benton,24600
Portola Valley,500
Davie,35900
93614,6500
93610,13000
Bartow,4500
93612,9600
Davis,5500
Hockessin,800
Oviedo,3250
Taylor,500
Pony,10000
15234,7500
Palmetto Bay,16400
93210,1000
Winnetka,38900
Elizabethtown,2000
Singer Island,4000
95912,2000
Pasco,11500
Midland,178646
Fairway,10500
Corvallis,402
Thomasville,14400
Tifton,2000
Boulder,6300
Norman,47200
Hermitage,2000
Castro Valley,6000
Baton Rouge,489780
East Aurora,10400
Newport Beach,20300
Broomall,500
Bryan,6000
Boca Raton,4200
 Ca,1500
Natchez,800
Franklin,50900
Adrian,500
Austin,167900
Pacific Palisades,17118
Lawrenceville,2500
Woodward,5200
Murray,2000
Helena,10500
98357,6100
Florence,3500
Sahuarita,6000
Colgate,1000
Mililani,73100
Richboro,1750
98226,13000
Dearborn Heights,500
Springboro,51100
Manhattan,500
Versailles,250
Hewitt,400
Pebble Beach,10000
Culver City,1000
Coal Valley,500
TX,13106017
Elm Grove,4000
Clifton Park,1500
Burr Ridge,1500
Carefree,12850
TN,2120780
New Middletown,1200
99801,2000
Advance,1900
Stanford,12700
Wahpeton,750
Studio City,900
AK,197516
AL,1104414
Paradise Valley,1750
Pismo Beach,2000
AR,1308571
Longwood,14000
AZ,3904341
Limestone,7500
Covina,500
Pittsville,500
Morganfield,1350
Oakland,38800
Brewster,500
Leawood,101600
87327,1000
60602,2000
Lake City,500
Coloma,2000
Richmond Hill,1800
Baxter Springs,6000
Sulphur,2000
Roeland Park,4500
Bradenton,1250
Holland,1500
Bryn Mawr,78000
Chesterfield,19600
Happy Valley,750
Chico,400
Charlotte,133150
Hollidaysburg,2000
Lake Wales,17000
Seattle,110125
Diamond Bar,500
Bronxville,8900
Winchester,3250
Midwest City,750
Allentown,6500
Bellflower,3000
Somerset,5000
San Mateo,5600
Vestavia,1000
Oceanside,9700
Forest Hills,28700
San Diego,188450
Powell,11700
Stilwell,11900
Kennett Square,1000
Mooresville,1250
Greer,10000
Lone Tree,4900
Missoula,28050
Blairsville,500
Ankeny,1000
Burnt Hills,3000
Whitehouse,1500
77962,500
Moultrie,5200
Corydon,7500
Carlsbad,12500
Miamisburg,10000
Magnolia,21600
Daniels,1000
Clearwater,1000
Clovis,8450
87532,9000
FL,11660425
Flandreau,1000
Oconomowoc,1000
Aston,6000
Indianapolis,59846
Mcmurray,1000
La Canada,1000
Mountain View,6200
Sw Ranches,9600
Land O Lakes,4000
Memphis,51100
Chatsworth,1000
Glencoe,21800
Plain,22500
Lake Forest Park,1000
Laingsburg,800
Miramar Beach,500
Edina,10700
Oxnard,3200
Aventura,700
Birmingham,68650
UT,668990
Amboy,400
93266,4800
Hattiesburg,3650
Weslaco,250
Bedford,209600
Annapolis,9650
Sun Valley,1400
Huntington Woods,1000
Kentfield,4500
Moline,4000
Villa Park,1000
Clackamas,4000
Kentwood,2000
Pierre Part,8800
Edgerton,3000
Missouri City,3000
Campobello,4000
Stafford,25500
Philo,250
Saint Pete Beach,5199
X4200,330400
Wheeling,6100
St. Louis,3000
Tallahassee,31748
Keithville,1000
Salisbury,1000
Wilson,600
Purcellville,600
Redondo Beach,14100
Gonzales,16950
Old Westbury,4000
Warwick,400
Bluffton,500
Roselle,500
Walhalla,2000
Thousand Oaks,8000
Clayton,12950
Lewis Center,5000
E. Fallowfield,5200
Laurys Station,2000
Cutler Bay,1350
Colton,10200
Miami,326000
Cerritos,1100
Topeka,1500
Lynbrook,4000
Philpot,1000
Upper Darby,1000
Ny,1900
Larose,6600
Elkhorn,6000
Davidsonville,2000
Darien,6400
36502,13000
Timnath,12300
Mills,2000
Liberty,12900
Fort Walton Beach,1000
Carbondale,1150
Cross River,700
Hayward,1500
Evergreen,1000
Bossier City,45150
Scotia,1500
Bellbrook,3000
Claremont,16000
87024,2000
Hilton Head Island,4800
Saint Albans,10400
Salt Lake City,31200
Chino,400
Alpine,9600
Orange Cove,13700
Castroville,14000
Grove,600
Hartsdale,1000
Harveys Lake,7200
Buffalo,14700
Hacienda Heights,16848
29532,2000
Wesley Chapel,1000
Dayton,49950
Waukee,3000
30205,500
Middleton,6250
Wadsworth,500
NC,2791030
ND,402896
NE,362125
Bethesda,164150
Dickinson,18900
Colville,1560
Black Diamond,1424
Avon Lake,5000
Flower Mound,20250
Gulf Shores,10400
Lincoln,16300
Knoxville,83800
Algonac,12000
Stevenson,2000
Billings,21100
Xenia,6000
West Chicago,1250
Lawton,1000
72756,500
Bolton,1000
Hastings,1750
Wichita Falls,2000
Gilcrest,1600
Lake Angelus,4000
Auburn,3800
KS,1646357
Farmville,500
New York,964080
Casper,12000
95932,1000
KY,1408665
95937,3000
Bradford,600
Wellsboro,6000
Abilene,61900
Mt Pleasant,700
Glenbrook,1000
Neffs,3500
Artesia,17600
Leonardtown,4000
Connersville,1400
93272,9000
Decatur,2500
St Helena,250
Woodside,59900
Flippin,3550
La Jolla,46800
Ottumwa,500
Boerne,10800
Chapel Hill,10500
Beverly Hills,28250
Newborn,4000
Wellsville,153000
Myrtle Beach,5500
Bend,2000
Ivyland,2000
West Monroe,500
Bishop,440
Clearfield,19600
Shawnee,8600
Paris,2000
98241,1500
Evergreen Park,500
Independence,8000
Highland,1750
Bowie,1600
Walton,6000
Beacon,400
York,105790
Selah,12900
Greenwood Village,52000
49740,7000
Saginaw,200
King City,45000
Sauk City,500
63822,1000
Hague,1000
Newport,2440
Noblesville,750
Gaffney,240
Fredericksburg,11900
Incline Village,12400
Lower Gwynedd,1000
